sample,fraction,genus,species,genus_hex,species_hex
A_SRshot_noPre,0.09375000000000017,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
A_SRshot_noPre,0.09320987654320984,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
A_SRshot_noPre,0.07523148148148137,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
A_SRshot_noPre,0.014776234567900946,Bacillus A,Bacillus A anthracis,#303E45,#303E45
A_SRshot_noPre,0.004436728395060898,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
A_SRshot_noPre,0.0034336419753074384,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
A_SRshot_noPre,0.003356481481480249,Pseudomonas,Pseudomonas aeruginosa A,#5C9531,#70AA3A
A_SRshot_noPre,0.0032407407407402922,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
A_SRshot_noPre,0.002314814814814022,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
A_SRshot_noPre,0.002160493827159643,Corynebacterium,Corynebacterium sp022288805,#007884,#00B4CF
A_SRshot_noPre,0.002160493827159643,Klebsiella,Klebsiella africana,#D31A55,#D31A55
B_SRshot_noPre,0.2529594299505826,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
B_SRshot_noPre,0.2182890855457253,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
B_SRshot_noPre,0.11630847029077106,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
B_SRshot_noPre,0.11144312914224529,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
B_SRshot_noPre,0.09504654637398101,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
B_SRshot_noPre,0.09255641114048234,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
B_SRshot_noPre,0.07727081178408628,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
