sample,fraction,genus,species,genus_hex,species_hex
F_LR16sKAPA,0.0568967674382393,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
A_SRshot,0.2597494962266389,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
A_SRshot,0.22256904658421983,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
A_SRshot,0.118890513256154,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
A_SRshot,0.11533446600023718,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
A_SRshot,0.09589474100122475,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
A_SRshot,0.09546011300327892,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
A_SRshot,0.07696866727251149,Moraxella,Moraxella catarrhalis,#252F87,#252F87
A_SRshot,0.015132956655734804,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
B_SRshot,0.2576991150442494,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
B_SRshot,0.22411012782694317,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
B_SRshot,0.11882005899704974,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
B_SRshot,0.11437561455260523,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
B_SRshot,0.09742379547689269,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
B_SRshot,0.09502458210422808,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
B_SRshot,0.07921337266469983,Moraxella,Moraxella catarrhalis,#252F87,#252F87
B_SRshot,0.013333333333331834,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
C_SRshot,0.2651741889141626,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
C_SRshot,0.22678478790055465,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_SRshot,0.11389121672852116,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
C_SRshot,0.11333253521688852,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
C_SRshot,0.09641246657887416,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
C_SRshot,0.09345943573167355,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
C_SRshot,0.0769384253162532,Moraxella,Moraxella catarrhalis,#252F87,#252F87
C_SRshot,0.014006943613072066,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
E_SRshot,0.2567335700889846,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
E_SRshot,0.2267666892781614,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
E_SRshot,0.11875024939148403,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
E_SRshot,0.1158772594868521,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
E_SRshot,0.09768165675751109,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
E_SRshot,0.09640477235545304,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
E_SRshot,0.07709189577431014,Moraxella,Moraxella catarrhalis,#252F87,#252F87
E_SRshot,0.010693906867243504,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
F_SRshot,0.2631408308004062,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
F_SRshot,0.2282877406281664,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
F_SRshot,0.11590678824721344,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
F_SRshot,0.11566362715298915,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
F_SRshot,0.09791286727456873,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
F_SRshot,0.09373860182370841,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
F_SRshot,0.0773657548125632,Moraxella,Moraxella catarrhalis,#252F87,#252F87
F_SRshot,0.00798378926038484,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
A_LRshot,0.27000757947300386,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
A_LRshot,0.2037540683935977,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
A_LRshot,0.12510588969637526,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
A_LRshot,0.11748183155735878,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
A_LRshot,0.09790895715368497,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
A_LRshot,0.08199206384591376,Moraxella,Moraxella catarrhalis,#252F87,#252F87
A_LRshot,0.06754648000356671,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
A_LRshot,0.028222390654955496,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
A_LRshot,0.007980739221543453,Bacillus A,Bacillus A wiedmannii,#3A3A3A,#565656
B_LRshot,0.2633634037969572,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
B_LRshot,0.21816794578340287,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
B_LRshot,0.12530855886181058,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
B_LRshot,0.11960863516000177,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
B_LRshot,0.09855931062340112,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
B_LRshot,0.0825366904537497,Moraxella,Moraxella catarrhalis,#252F87,#252F87
B_LRshot,0.07221399398590729,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
B_LRshot,0.020241461334769367,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
C_LRshot,0.2814878644262531,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
C_LRshot,0.21398822346689644,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_LRshot,0.12422806261668824,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
C_LRshot,0.11091962276796394,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
C_LRshot,0.09952606635071096,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
C_LRshot,0.0877974053329504,Moraxella,Moraxella catarrhalis,#252F87,#252F87
C_LRshot,0.05136674804921237,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
C_LRshot,0.024414763751256535,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
C_LRshot,0.006271243238067885,Bacillus A,Bacillus A wiedmannii,#3A3A3A,#565656
D_LRshot,0.22234457903694077,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
D_LRshot,0.2164881369506459,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
D_LRshot,0.13925317849634603,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
D_LRshot,0.13279607568325164,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
D_LRshot,0.10676744418860745,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
D_LRshot,0.09210131144258688,Moraxella,Moraxella catarrhalis,#252F87,#252F87
D_LRshot,0.06251877064771241,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
D_LRshot,0.022474722194413693,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
D_LRshot,0.005255781359495388,Bacillus A,Bacillus A wiedmannii,#3A3A3A,#565656
E_LRshot,0.20498565279770442,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
E_LRshot,0.182508369201339,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
E_LRshot,0.1551889048302247,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
E_LRshot,0.1496293639406983,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
E_LRshot,0.1203371592539455,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
E_LRshot,0.10909851745576282,Moraxella,Moraxella catarrhalis,#252F87,#252F87
E_LRshot,0.06073648971783825,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
E_LRshot,0.01751554280248674,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
F_LRshot,0.2125122830003276,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
F_LRshot,0.20537176547658045,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
F_LRshot,0.1440550278414674,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
F_LRshot,0.13946937438585,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
F_LRshot,0.11765476580412712,Moraxella,Moraxella catarrhalis,#252F87,#252F87
F_LRshot,0.10579757615460204,Corynebacterium,Corynebacterium kefirresidentii,#165AB8,#165AB8
F_LRshot,0.0509007533573534,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
F_LRshot,0.0191287258434326,Bacillus A,Bacillus A anthracis,#3A3A3A,#3A3A3A
